pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Toru Kamikawa | Cameroon,-0.001695,0.038844,Toru Kamikawa,Cameroon,1,1,1.0,2.093247,0.477727,0.998306,-0.043636,382,False,-0.000303,409
Abdul Rahman Al-Zaid | Paraguay,-0.001692,0.038844,Abdul Rahman Al-Zaid,Paraguay,1,1,1.0,2.086038,0.479378,0.998309,-0.043564,383,False,-0.000342,368
Luis Medina Cantalejo | Poland,0.001691,0.038824,Luis Medina Cantalejo,Poland,1,4,4.0,2.83815,1.409369,1.001693,0.043559,384,False,0.000339,373
Michel Vautrot | Cameroon,0.001691,0.038853,Michel Vautrot,Cameroon,1,3,3.0,1.853019,1.618979,1.001692,0.043522,385,False,0.000327,387
Daniel Siebert | Tunisia,0.001683,0.038853,Daniel Siebert,Tunisia,1,3,3.0,1.85201,1.619862,1.001685,0.043323,386,False,0.000334,378
Falla N'Doye | Saudi Arabia,-0.001682,0.038844,Falla N'Doye,Saudi Arabia,1,1,1.0,2.076873,0.481493,0.99832,-0.043293,387,False,-0.000348,356
José María García-Aranda | Scotland,-0.00168,0.038844,José María García-Aranda,Scotland,1,1,1.0,2.076144,0.481662,0.998321,-0.043258,388,False,-0.000348,358
Peter Prendergast | Brazil,-0.001669,0.038844,Peter Prendergast,Brazil,1,1,1.0,2.072016,0.482622,0.998332,-0.042971,389,False,-0.000341,370
Andrés Cunha | Belgium,0.001666,0.038853,Andrés Cunha,Belgium,1,3,3.0,1.863783,1.609629,1.001667,0.042881,390,False,0.00028,444
Rodrigo Badilla | Brazil,-0.001666,0.038844,Rodrigo Badilla,Brazil,1,1,1.0,2.069816,0.483135,0.998336,-0.04288,391,False,-0.000341,371
Danny Makkelie | Poland,-0.001661,0.038845,Danny Makkelie,Poland,1,1,1.0,2.061587,0.485063,0.99834,-0.042765,392,False,-0.00031,404
Nawaf Shukralla | Tunisia,0.00166,0.038853,Nawaf Shukralla,Tunisia,1,3,3.0,1.868805,1.605304,1.001661,0.042714,393,False,0.000336,376
Gilles Veissière | Nigeria,-0.001654,0.038844,Gilles Veissière,Nigeria,1,1,1.0,2.060098,0.485414,0.998348,-0.042569,394,False,-0.000366,332
Anders Frisk | Spain,0.001648,0.038852,Anders Frisk,Spain,1,3,3.0,1.876145,1.599023,1.001649,0.042413,395,False,0.00028,446
William Mattus | Belgium,0.001639,0.038852,William Mattus,Belgium,1,3,3.0,1.883254,1.592988,1.00164,0.042185,396,False,0.000274,451
Hugh Dallas | Portugal,0.001637,0.038852,Hugh Dallas,Portugal,1,3,3.0,1.887334,1.589543,1.001639,0.042143,397,False,0.000344,365
Nawaf Shukralla | Panama,0.001636,0.038852,Nawaf Shukralla,Panama,1,3,3.0,1.882019,1.594033,1.001637,0.0421,398,False,0.00034,372
Urs Meier | Nigeria,-0.001631,0.038845,Urs Meier,Nigeria,1,1,1.0,2.047342,0.488438,0.99837,-0.042,399,False,-0.000362,339
Aron Schmidhuber | Yugoslavia,0.001627,0.038852,Aron Schmidhuber,Yugoslavia,1,3,3.0,1.889887,1.587397,1.001628,0.041872,400,False,0.000334,379
Óscar Ruiz | Greece,0.001625,0.038852,Óscar Ruiz,Greece,1,3,3.0,1.895527,1.582673,1.001626,0.041817,401,False,0.000315,397
Epifanio González | Cameroon,-0.00162,0.038845,Epifanio González,Cameroon,1,1,1.0,2.039816,0.49024,0.998381,-0.041714,402,False,-0.000306,407
Antonio Mateu Lahoz | United States,-0.001618,0.038846,Antonio Mateu Lahoz,United States,1,1,1.0,2.04325,0.489416,0.998384,-0.041639,403,False,-0.00036,341
Saad Mane | Uruguay,-0.001617,0.038845,Saad Mane,Uruguay,1,1,1.0,2.039495,0.490317,0.998384,-0.041623,404,False,-0.000284,438
Luis Medina Cantalejo | Argentina,-0.001615,0.038816,Luis Medina Cantalejo,Argentina,1,2,2.0,3.03333,0.659341,0.998386,-0.041617,405,True,-0.000234,521
Pierluigi Collina | Brazil,-0.001593,0.038846,Pierluigi Collina,Brazil,1,1,1.0,2.026247,0.493523,0.998408,-0.041008,406,False,-0.000324,389
Malang Diedhiou | Russia,0.00156,0.03885,Malang Diedhiou,Russia,1,3,3.0,1.932617,1.552299,1.001562,0.040165,407,False,0.000321,392
Carlos Amarilla | Tunisia,0.001559,0.038821,Carlos Amarilla,Tunisia,1,4,4.0,2.921529,1.369146,1.00156,0.040159,408,False,0.000327,386
Ubaldo Aquino | Saudi Arabia,-0.001557,0.038846,Ubaldo Aquino,Saudi Arabia,1,1,1.0,1.997816,0.500547,0.998444,-0.04008,409,False,-0.000323,390
Arturo Brizio Carter | Bolivia,0.001555,0.038821,Arturo Brizio Carter,Bolivia,1,4,4.0,2.922385,1.368745,1.001557,0.040066,410,False,0.000302,412
Jair Marrufo | Tunisia,-0.001549,0.038847,Jair Marrufo,Tunisia,1,1,1.0,1.988348,0.50293,0.998452,-0.039876,411,False,-0.00027,460
