era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
2022,Iran,3,1,0,2,4,7,7,0,1,2,1,0
2022,Japan,4,2,0,2,5,4,6,0,0,5,0,1
2022,Mexico,3,1,1,1,2,3,7,0,0,8,0,0
2022,Morocco,7,4,1,2,6,5,9,1,0,7,0,0
2022,Netherlands,5,3,1,1,10,4,12,1,0,11,0,1
2022,Poland,4,1,1,2,3,5,7,0,1,6,0,0
2022,Portugal,5,3,0,2,12,6,6,0,2,13,1,0
2022,Qatar,3,0,0,3,1,7,7,0,0,6,0,1
2022,Saudi Arabia,3,1,0,2,3,5,14,0,0,4,0,1
2022,Senegal,4,2,0,2,5,7,7,0,1,4,0,0
2022,Serbia,3,0,1,2,5,8,12,0,0,6,0,0
2022,South Korea,4,1,1,2,5,8,6,0,0,3,0,1
2022,Spain,4,1,1,2,9,3,2,0,1,9,0,0
2022,Switzerland,4,2,0,2,5,9,9,0,0,9,0,0
2022,Tunisia,3,1,1,1,1,1,5,0,0,2,0,0
2022,United States,4,1,2,1,3,4,5,0,0,7,0,1
2022,Uruguay,3,1,1,1,2,2,8,0,0,6,0,1
2022,Wales,3,0,1,2,1,6,5,1,1,6,0,0
