official,matches,wins,draws,losses,card_net,roles,years,ref_matches,win_pct,card_net_pm
Abdukhamidullo Rasulov,1,0,0,1,1,assistant1,2018,0,0,1.0
Abraham Klein,1,0,0,1,1,referee,1978,1,0,1.0
Adolf Prokop,1,0,1,0,0,assistant2,1978,0,0,0.0
Alan Snoddy,1,0,1,0,-1,assistant1,1986,0,0,-1.0
Albino Carraro,1,0,0,1,0,assistant1,1934,0,0,0.0
Alfonso González Archundía,1,0,0,1,1,assistant2,1978,0,0,1.0
Ali Bujsaim,1,0,1,0,-1,referee,2002,1,0,-1.0
Alireza Faghani,1,0,0,1,-2,referee,2018,1,0,-2.0
Alojzy Jarguz,1,0,0,1,0,assistant2,1982,0,0,0.0
Andraž Kovačič,1,0,0,1,6,assistant2,2022,0,0,6.0
Armando Pérez Hoyos,1,0,0,1,-2,assistant1,1990,0,0,-2.0
Arthur Edward Ellis,1,0,0,1,0,referee,1958,1,0,0.0
Arturo Brizio Carter,1,0,0,1,0,referee,1998,1,0,0.0
Bertil Lööw,1,0,1,0,0,assistant2,1966,0,0,0.0
Brian Hall,1,0,0,1,1,fourth_official,2002,0,0,1.0
Bruno Galler,1,0,0,1,-1,assistant1,1982,0,0,-1.0
Bulnes,1,0,1,0,0,assistant2,1962,0,0,0.0
Carlo Longhi,1,0,1,0,1,assistant2,1990,0,0,1.0
Carlos Astroza,1,0,0,1,-2,avar2,2018,0,0,-2.0
Carlos Chandía,1,0,1,0,1,fourth_official,2006,0,0,1.0
Carlos Vera,1,0,0,1,0,fourth_official,2014,0,0,0.0
Corey Rockwell,1,0,0,1,1,avar2,2018,0,0,1.0
Domenico Ramicone,1,0,0,1,-1,assistant1,1994,0,0,-1.0
Edgardo Codesal,1,0,0,1,-2,referee,1990,1,0,-2.0
El Jilali Rharib,1,0,0,1,3,assistant2,1994,0,0,3.0
Elias Salinas Rostran,1,0,0,1,0,assistant2,1998,0,0,0.0
Epifanio González,1,0,0,1,0,fourth_official,1998,0,0,0.0
Eugen Braun,1,0,0,1,0,referee,1934,1,0,0.0
Felix Zwayer,1,0,0,1,1,var,2018,0,0,1.0
Francis Rion,1,0,0,1,1,assistant1,1978,0,0,1.0
Fritz Seipelt,1,0,0,1,0,assistant2,1958,0,0,0.0
