era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against,eb_yellows_received,eb_dismissals_received,eb_yellows_drawn,eb_dismissals_drawn,eb_pen_goals_for,eb_pen_goals_against,eb_card_net,eb_pen_net,eb_card_net_rank,eb_pen_net_rank
1990-2018,Germany,41,29,4,8,81,35,78,4,2,83,8,0,1.9340420840024488,0.13034451454566157,2.0073661798354125,0.1326592256604545,0.10875105371455428,0.11680323768853898,0.07332409583296373,-0.008052183973984703,21,70
1990-2018,Ghana,12,4,2,6,13,16,35,1,3,20,4,1,2.3669795677305383,0.13138804705155588,1.9925546628733255,0.13263021377188397,0.12183977370038093,0.11680327524992845,-0.3744249048572128,0.005036498450452481,71,9
1990-2018,Greece,10,2,1,7,5,20,21,1,1,20,2,3,2.038732859844143,0.1317405525618026,2.00496343318826,0.1323008942351228,0.11627044303712171,0.11680329437273378,-0.033769426655883006,-0.0005328513356120668,32,29
1990-2018,Honduras,6,0,1,5,1,11,14,1,0,9,0,1,2.0864003899825203,0.1324512686900986,1.9955668653954506,0.13202146896275724,0.11455241397702438,0.11680328124992796,-0.09083352458706972,-0.0022508672729035784,38,54
1990-2018,Iceland,3,0,1,2,2,5,3,0,1,3,0,0,1.86308214844465,0.13163517525184887,1.995524531185297,0.13209675709594434,0.11890990443593498,0.11680327568852467,0.1324423827406469,0.0021066287474103135,17,18
1990-2018,Iran,12,2,3,7,7,16,22,0,1,19,0,1,1.9369274175464741,0.1300501692933715,1.9894601499985438,0.13187114986465348,0.1155376978906735,0.11680327524992845,0.052532732452069686,-0.001265577359254949,25,47
1990-2018,Italy,36,21,6,9,49,25,59,6,5,89,6,3,1.7619974554509263,0.13378182632512567,2.0535615104364204,0.132406714775931,0.11913246741734877,0.1168032683727383,0.2915640549854941,0.002329199044610472,5,17
1990-2018,Ivory Coast,9,3,1,5,13,14,21,1,2,17,2,1,2.11360674234518,0.13191751558159054,2.0018554264205095,0.13232601474460393,0.11982142131667407,0.11680327824992813,-0.11175131592467036,0.003018143066745943,46,15
1990-2018,Jamaica,3,1,0,2,3,9,6,1,0,4,0,1,2.0043989915822866,0.13298935859602332,1.9987076971938427,0.13209675709594434,0.1156668969761991,0.11680328424992796,-0.005691294388443957,-0.0011363872737288616,28,40
1990-2018,Japan,21,5,4,12,20,29,36,0,1,40,2,1,1.8494320389264889,0.12850287900027735,1.9987777296061215,0.13202519680435554,0.11235148383266395,0.11680326624993033,0.14934569067963266,-0.004451782417266376,14,64
1990-2018,Mexico,28,10,7,11,33,34,67,5,5,64,6,3,2.239966506626618,0.1338738485737437,2.0282882058932463,0.13260711662122293,0.12199145436188771,0.11680327637273567,-0.21167830073337157,0.00518817798915204,62,8
1990-2018,Morocco,9,1,2,6,9,14,22,0,0,15,1,1,2.1503324379847553,0.13057424643365734,1.9956084062176056,0.13213614067288024,0.11345920273120128,0.11680327824992813,-0.15472403176714966,-0.003344075518726855,52,61
1990-2018,Netherlands,34,20,6,8,54,29,79,6,3,79,6,5,2.212399407559956,0.1341295588650246,2.036488261317678,0.13245675843023694,0.11394105674825823,0.11680328749553957,-0.175911146242278,-0.0028622307472813413,57,58
1990-2018,New Zealand,3,0,3,0,2,2,6,0,0,3,0,1,2.0043989915822866,0.13163517525184887,1.995524531185297,0.13209675709594434,0.1156668969761991,0.11680328424992796,-0.008874460396989692,-0.0011363872737288616,30,40
1990-2018,Nigeria,21,6,3,12,23,30,31,1,2,32,1,3,1.7219749595708882,0.1298248391685052,1.9746924173866747,0.13183575437509665,0.11541562472075985,0.11680328337273427,0.2527174578157865,-0.0013876586519744188,8,48
1990-2018,North Korea,3,0,0,3,1,12,2,0,0,3,0,0,1.815976534065438,0.13163517525184887,1.995524531185297,0.13209675709594434,0.1156668969761991,0.11680327568852467,0.17954799711985903,-0.001136378712325567,13,32
1990-2018,Norway,7,2,3,2,6,6,13,0,1,11,1,0,1.964064443139051,0.13092598410387637,1.9955807993820647,0.13218633818939676,0.11738715476165808,0.11680327168852501,0.03151635624301363,0.0005838830731330624,27,25
1990-2018,Panama,3,0,0,3,2,11,11,0,0,7,0,2,2.2399270634783477,0.13163517525184887,2.0082571952194797,0.13209675709594434,0.1156668969761991,0.11680329281133124,-0.23166986825886804,-0.0011363958351321424,63,45
1990-2018,Paraguay,16,5,5,6,14,13,36,2,0,39,2,2,2.1195886129711847,0.13201942141947828,2.026269143682582,0.13215037124113246,0.11098775351264813,0.11680327981133146,-0.0933194692886028,-0.0058155262986833295,41,65
1990-2018,Peru,3,1,0,2,2,2,5,0,0,8,0,0,1.9572933772030745,0.13163517525184887,2.0114403612280256,0.13209675709594434,0.1156668969761991,0.11680327568852467,0.054146984024951106,-0.001136378712325567,24,32
1990-2018,Poland,9,3,0,6,7,16,22,1,0,19,0,0,2.1503324379847553,0.13191751558159054,2.0081024466234134,0.13194626660115652,0.11345920273120128,0.11680326968852528,-0.14222999136134185,-0.0033440669573240045,49,59
