year,team,stage,opp,opp_elo
2018,Argentina,round of 16,France,1986
2018,Uruguay,round of 16,Portugal,1968
2018,Portugal,round of 16,Uruguay,1893
2018,Spain,round of 16,Russia,1676
2018,Russia,round of 16,Spain,2043
2018,Croatia,round of 16,Denmark,1854
2018,Denmark,round of 16,Croatia,1853
2018,Brazil,round of 16,Mexico,1849
2018,Mexico,round of 16,Brazil,2141
2018,Belgium,round of 16,Japan,1684
2018,Japan,round of 16,Belgium,1935
2018,Sweden,round of 16,Switzerland,1888
2018,Switzerland,round of 16,Sweden,1793
2018,Colombia,round of 16,England,1947
2018,England,round of 16,Colombia,1927
2018,Uruguay,quarter-finals,France,1986
2018,France,quarter-finals,Uruguay,1893
2018,Brazil,quarter-finals,Belgium,1935
2018,Belgium,quarter-finals,Brazil,2141
2018,Sweden,quarter-finals,England,1947
2018,England,quarter-finals,Sweden,1793
2018,Russia,quarter-finals,Croatia,1853
2018,Croatia,quarter-finals,Russia,1676
2018,France,semi-finals,Belgium,1935
2018,Belgium,semi-finals,France,1986
2018,Croatia,semi-finals,England,1947
2018,England,semi-finals,Croatia,1853
2018,Belgium,third place,England,1947
2018,England,third place,Belgium,1935
2018,France,final,Croatia,1853
2018,Croatia,final,France,1986
2022,Netherlands,round of 16,United States,1796
2022,United States,round of 16,Netherlands,2040
2022,Argentina,round of 16,Australia,1720
2022,Australia,round of 16,Argentina,2143
2022,France,round of 16,Poland,1813
2022,Poland,round of 16,France,2004
2022,England,round of 16,Senegal,1684
2022,Senegal,round of 16,England,1919
2022,Japan,round of 16,Croatia,1926
2022,Croatia,round of 16,Japan,1788
2022,Brazil,round of 16,South Korea,1786
2022,South Korea,round of 16,Brazil,2169
2022,Morocco,round of 16,Spain,2049
2022,Spain,round of 16,Morocco,1764
2022,Portugal,round of 16,Switzerland,1901
2022,Switzerland,round of 16,Portugal,2005
2022,Croatia,quarter-finals,Brazil,2169
2022,Brazil,quarter-finals,Croatia,1926
2022,Netherlands,quarter-finals,Argentina,2143
2022,Argentina,quarter-finals,Netherlands,2040
2022,Morocco,quarter-finals,Portugal,2005
2022,Portugal,quarter-finals,Morocco,1764
2022,England,quarter-finals,France,2004
2022,France,quarter-finals,England,1919
2022,Argentina,semi-finals,Croatia,1926
2022,Croatia,semi-finals,Argentina,2143
2022,France,semi-finals,Morocco,1764
2022,Morocco,semi-finals,France,2004
2022,Croatia,third place,Morocco,1764
2022,Morocco,third place,Croatia,1926
2022,Argentina,final,France,2004
2022,France,final,Argentina,2143
2026,South Africa,round of 32,Canada,1788
2026,Canada,round of 32,South Africa,1518
2026,Brazil,round of 32,Japan,1906
2026,Japan,round of 32,Brazil,1991
