official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Nikolay Latyshev,1,0,0,1,referee,1962,18,0.0,39,60.0,-60.0,crew
Norbert Hauata,2,1,0,1,fourth_official,2014/2018,16,50.0,38,82.0,-32.0,crew
Owen Powell,1,0,0,1,assistant1,1998,8,0.0,25,60.0,-60.0,crew
Pablo Sánchez Ibáñez,1,1,0,0,referee,1974,4,100.0,50,63.0,37.0,crew
Paolo Calcagno,1,1,0,0,assistant1,2010,2,100.0,0,100.0,0.0,crew
Paolo Valeri,3,2,0,1,avar1/avar3,2018/2022,40,67.0,32,83.0,-16.0,crew
Park Hae-young,1,1,0,0,assistant1,1994,10,100.0,40,100.0,0.0,crew
Pat Partridge,1,1,0,0,assistant1,1978,4,100.0,50,50.0,50.0,crew
Pau Cebrián Devís,1,1,0,0,assistant1,2022,12,100.0,42,40.0,60.0,crew
Pavel Kazakov,2,0,1,1,assistant2/referee,1974,4,0.0,50,42.0,-42.0,crew
Paweł Gil,3,1,1,1,avar1,2018,26,33.0,50,88.0,-55.0,crew
Paweł Sokolnicki,4,3,1,0,assistant1/avar2,2018/2022,10,75.0,50,73.0,2.0,crew
Pedro Medina Hernández,1,0,1,0,assistant2,2006,6,0.0,50,60.0,-60.0,crew
Peter Hermans,2,2,0,0,assistant1,2006/2010,10,100.0,40,82.0,18.0,crew
Peter Mikkelsen,1,1,0,0,assistant2,1990,18,100.0,44,0.0,100.0,crew
Peter O'Leary,1,1,0,0,fourth_official,2010,14,100.0,43,100.0,0.0,crew
Peter Prendergast,1,0,1,0,fourth_official,2002,6,0.0,33,0.0,0.0,crew
Pierluigi Collina,2,1,0,1,fourth_official/referee,1998/2002,12,50.0,42,62.0,-12.0,crew
Pierluigi Pairetto,2,1,0,1,assistant2/referee,1990/1994,2,50.0,50,0.0,50.0,crew
Pol van Boekel,2,1,0,1,var,2022,14,50.0,43,57.0,-7.0,crew
Rafael Ilyasov,2,1,0,1,assistant1,2010,6,50.0,17,50.0,0.0,crew
Ramón Barreto Ruíz,1,1,0,0,assistant1,1978,20,100.0,45,40.0,60.0,crew
Ravshan Irmatov,3,1,0,2,referee,2010/2018,18,33.0,28,67.0,-34.0,crew
Reginald Leafe,2,0,0,2,assistant1/referee,1958,10,0.0,40,48.0,-48.0,crew
Reginato,1,0,0,1,assistant2,1962,2,0.0,0,60.0,-60.0,crew
Renato Faverani,3,2,0,1,assistant1,2014,2,67.0,50,50.0,17.0,crew
Reza Sokhandan,1,0,0,1,assistant1,2018,6,0.0,50,100.0,-100.0,crew
Ricardo de Burgos Bengoetxea,1,0,0,1,avar3,2022,10,0.0,50,63.0,-63.0,crew
Robert Wurtz,1,1,0,0,referee,1978,4,100.0,50,63.0,37.0,crew
Roberto Díaz Pérez del Palomar,2,2,0,0,assistant2/avar2,2022,8,100.0,50,70.0,30.0,crew
Roberto Rosetti,2,2,0,0,referee,2006/2010,12,100.0,42,82.0,18.0,crew
Roman Slysko,1,0,0,1,assistant1,2006,6,0.0,50,0.0,0.0,crew
Romualdo Arppi Filho,2,2,0,0,assistant2/referee,1986,6,100.0,33,25.0,75.0,crew
Rudi Glöckner,1,0,1,0,assistant1,1974,12,0.0,33,25.0,-25.0,crew
Rudolf Kreitlein,1,0,0,1,referee,1966,4,0.0,50,60.0,-60.0,crew
Rune Pedersen,2,2,0,0,fourth_official/referee,1998,6,100.0,33,52.0,48.0,crew
Ryszard Wójcik,1,1,0,0,fourth_official,1998,4,100.0,50,63.0,37.0,crew
Rómulo Méndez,1,1,0,0,assistant2,1986,14,100.0,36,50.0,50.0,crew
Said Belqola,1,1,0,0,referee,1998,8,100.0,50,50.0,50.0,crew
Saíd Martínez,1,1,0,0,fourth_official,2022,26,100.0,31,50.0,50.0,crew
Sergio Gonella,2,2,0,0,assistant2/referee,1978,4,100.0,25,52.0,48.0,crew
Slavko Vinčić,1,0,0,1,referee,2022,10,0.0,40,63.0,-63.0,crew
Stefano Ayroldi,1,1,0,0,assistant2,2010,2,100.0,0,100.0,0.0,crew
Sten Ahlner,2,1,0,1,assistant2/referee,1958,4,50.0,25,48.0,2.0,crew
Svein Oddvar Moen,2,2,0,0,fourth_official,2014,14,100.0,43,100.0,0.0,crew
Szymon Marciniak,4,3,1,0,referee,2018/2022/2026,14,75.0,36,64.0,11.0,crew
Tapio Yli-Karro,1,0,0,1,assistant1,1994,6,0.0,50,100.0,-100.0,crew
Tarık Ongun,2,2,0,0,assistant2,2014/2018,8,100.0,25,70.0,30.0,crew
Tatiana Guzmán,3,3,0,0,avar2,2026,20,100.0,40,55.0,45.0,crew
Tesfaye,1,1,0,0,assistant2,1978,4,100.0,50,50.0,50.0,crew
Tofiq Bahramov,1,1,0,0,assistant1,1966,12,100.0,33,100.0,0.0,crew
Tomasz Kwiatkowski,3,3,0,0,var,2022/2026,30,100.0,37,64.0,36.0,crew
Tomasz Listkiewicz,4,3,1,0,assistant1/assistant2,2018/2022/2026,8,75.0,38,64.0,11.0,crew
Tomaž Klančnik,1,0,0,1,assistant1,2022,8,0.0,38,63.0,-63.0,crew
