era,metric,team,matches,count,rate,field_rate,direction,favorable,p,signif_fdr10
1990-2018,pen_goals_for,Cameroon,20,2,0.1,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Chile,12,0,0.0,0.1168032786885246,low,False,0.6536527733535733,False
1990-2018,pen_goals_for,China,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Colombia,19,2,0.10526315789473684,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Costa Rica,18,0,0.0,0.1168032786885246,low,False,0.28000941052186035,False
1990-2018,pen_goals_for,Croatia,23,2,0.08695652173913043,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Czech Republic,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Czechoslovakia,5,2,0.4,0.1168032786885246,high,True,0.11631719521595382,False
1990-2018,pen_goals_for,Denmark,16,2,0.125,0.1168032786885246,high,True,0.711334452543155,False
1990-2018,pen_goals_for,Ecuador,10,0,0.0,0.1168032786885246,low,False,0.6352116817696161,False
1990-2018,pen_goals_for,Egypt,6,2,0.3333333333333333,0.1168032786885246,high,True,0.15576711833166815,False
1990-2018,pen_goals_for,England,35,7,0.2,0.1168032786885246,high,True,0.1317910133823517,False
1990-2018,pen_goals_for,France,32,7,0.21875,0.1168032786885246,high,True,0.10412488750205433,False
1990-2018,pen_goals_for,Germany,41,2,0.04878048780487805,0.1168032786885246,low,False,0.2456617683399025,False
1990-2018,pen_goals_for,Ghana,12,3,0.25,0.1168032786885246,high,True,0.16599661780872046,False
1990-2018,pen_goals_for,Greece,10,1,0.1,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Honduras,6,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Iceland,3,1,0.3333333333333333,0.1168032786885246,high,True,0.2959806813159055,False
1990-2018,pen_goals_for,Iran,12,1,0.08333333333333333,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Italy,36,5,0.1388888888888889,0.1168032786885246,high,True,0.6160098709263727,False
1990-2018,pen_goals_for,Ivory Coast,9,2,0.2222222222222222,0.1168032786885246,high,True,0.28316425038304055,False
1990-2018,pen_goals_for,Jamaica,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Japan,21,1,0.047619047619047616,0.1168032786885246,low,False,0.5248983896905797,False
1990-2018,pen_goals_for,Mexico,28,5,0.17857142857142858,0.1168032786885246,high,True,0.26631123326215705,False
1990-2018,pen_goals_for,Morocco,9,0,0.0,0.1168032786885246,low,False,0.6309716612609129,False
1990-2018,pen_goals_for,Netherlands,34,3,0.08823529411764706,0.1168032786885246,low,False,0.801139367709989,False
1990-2018,pen_goals_for,New Zealand,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Nigeria,21,2,0.09523809523809523,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,North Korea,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Norway,7,1,0.14285714285714285,0.1168032786885246,high,True,0.5598189218788271,False
1990-2018,pen_goals_for,Panama,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Paraguay,16,0,0.0,0.1168032786885246,low,False,0.27037110051139207,False
1990-2018,pen_goals_for,Peru,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Poland,9,0,0.0,0.1168032786885246,low,False,0.6309716612609129,False
1990-2018,pen_goals_for,Portugal,21,3,0.14285714285714285,0.1168032786885246,high,True,0.7390902600083412,False
1990-2018,pen_goals_for,Republic of Ireland,13,1,0.07692307692307693,0.1168032786885246,low,False,1.0,False
