tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
2006,2006-06-24,Round of 16,Germany,Sweden,Carlos Simon,Brazil,Aristeu Tavares,Brazil,Edmílson Corona,Brazil,Shamsul Maidin,Singapore,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-25,Round of 16,England,Ecuador,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Óscar Ruiz,Colombia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-25,Round of 16,Portugal,Netherlands,Valentin Ivanov,Russia,Nikolay Golubev,Russia,Evgeni Volnin,Russia,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/Battle_of_Nuremberg_(2006_FIFA_World_Cup); https://www.rsssf.org/tables/2006full.html
2006,2006-06-26,Round of 16,Italy,Australia,Luis Medina Cantalejo,Spain,Victoriano Giráldez Carrasco,Spain,Pedro Medina Hernández,Spain,Éric Poulat,France,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-26,Round of 16,Switzerland,Ukraine,Benito Archundia,Mexico,José Ramírez,Mexico,Héctor Vergara,Canada,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-27,Round of 16,Brazil,Ghana,Ľuboš Micheľ,Slovakia,Roman Slysko,Slovakia,Martin Balko,Slovakia,Mark Shield,Australia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-27,Round of 16,Spain,France,Roberto Rosetti,Italy,Cristiano Copelli,Italy,Alessandro Stagnoli,Italy,Markus Merk,Germany,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-30,Quarter-finals,Germany,Argentina,Ľuboš Micheľ,Slovakia,Roman Slysko,Slovakia,Martin Balko,Slovakia,Massimo Busacca,Switzerland,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-06-30,Quarter-finals,Italy,Ukraine,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Toru Kamikawa,Japan,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-01,Quarter-finals,Brazil,France,Luis Medina Cantalejo,Spain,Victoriano Giráldez Carrasco,Spain,Pedro Medina Hernández,Spain,Mark Shield,Australia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-01,Quarter-finals,England,Portugal,Horacio Elizondo,Argentina,Darío García,Argentina,Rodolfo Otero,Argentina,Coffi Codjia,Benin,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-04,Semi-finals,Germany,Italy,Benito Archundia,Mexico,José Ramírez,Mexico,Héctor Vergara,Canada,Toru Kamikawa,Japan,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-05,Semi-finals,Portugal,France,Jorge Larrionda,Uruguay,Wálter Rial,Uruguay,Pablo Fandino,Uruguay,Mark Shield,Australia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-08,Third place play-off,Germany,Portugal,Toru Kamikawa,Japan,Yoshikazu Hiroshima,Japan,Kim Dae-young,South Korea,Coffi Codjia,Benin,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2006full.html
2006,2006-07-09,Final,Italy,France,Horacio Elizondo,Argentina,Darío García,Argentina,Rodolfo Otero,Argentina,Luis Medina Cantalejo,Spain,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_final; https://www.rsssf.org/tables/2006full.html
2010,2010-06-11,Group A,South Africa,Mexico,Ravshan Irmatov,Uzbekistan,Rafael Ilyasov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-11,Group A,Uruguay,France,Yuichi Nishimura,Japan,Toru Sagara,Japan,Jeong Hae-sang,South Korea,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-12,Group B,Argentina,Nigeria,Wolfgang Stark,Germany,Jan-Hendrik Salver,Germany,Mike Pickel,Germany,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-12,Group B,South Korea,Greece,Michael Hester,New Zealand,Jan Hendrik Hintz,New Zealand,Tevita Makasini,Tonga,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-12,Group C,England,United States,Carlos Simon,Brazil,Altemir Hausmann,Brazil,Roberto Braatz,Brazil,Eddy Maillet,Seychelles,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-13,Group C,Algeria,Slovenia,Carlos Batres,Guatemala,Leonel Leal,Costa Rica,Carlos Pastrana,Honduras,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-13,Group D,Germany,Australia,Marco Rodríguez,Mexico,José Luis Camargo,Mexico,Alberto Morín,Mexico,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-13,Group D,Serbia,Ghana,Héctor Baldassi,Argentina,Ricardo Casas,Argentina,Hernán Maidana,Argentina,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-14,Group E,Japan,Cameroon,Olegário Benquerença,Portugal,José Cardinal,Portugal,Bertino Miranda,Portugal,Óscar Ruiz,Colombia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-14,Group E,Netherlands,Denmark,Stéphane Lannoy,France,Eric Dansault,France,Laurent Ugo,France,Roberto Rosetti,Italy,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-14,Group F,Italy,Paraguay,Benito Archundia,Mexico,Héctor Vergara,Canada,Marvin Torrentera,Mexico,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
2010,2010-06-15,Group F,New Zealand,Slovakia,Jerome Damon,South Africa,Célestin Ntagungira,Rwanda,Enock Molefe,South Africa,Ravshan Irmatov,Uzbekistan,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
