tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,var,var_country,avar1,avar2,avar3,source_url
2026,2026-06-17,Group K,Uzbekistan,Colombia,Anthony Taylor,England,Gary Beswick,England,Adam Nunn,England,Juan Gabriel Calderón,Costa Rica,Ivan Bebek,Croatia,Jarred Gillett,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,2026-06-17,Group L,England,Croatia,Clément Turpin,France,Nicolas Danos,France,Benjamin Pagès,France,Katia Itzel García,Mexico,Jérôme Brisard,France,Willy Delajod,Fedayi San,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-17,Group L,Ghana,Panama,Glenn Nyberg,Sweden,Mahbod Beigi,Sweden,Andreas Söderkvist,Sweden,Khalid Al-Turais,Saudi Arabia,Bram Van Driessche,Belgium,Marco Di Bello,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-18,Group A,Czech Republic,South Africa,Tori Penso,United States,Kathryn Nesbitt,United States,Brooke Mayo,United States,Campbell-Kirk Kawana-Waugh,New Zealand,Tatiana Guzmán,Nicaragua,Joe Dickerson,Mohammed Obaid Khadim,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-18,Group A,Mexico,South Korea,Gustavo Tejera,Uruguay,Carlos Barreiro,Uruguay,Nicolás Tarán,Uruguay,Andrés Rojas,Colombia,Leodán González,Uruguay,Antonio García,Jérôme Brisard,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,João Pinheiro,Portugal,Bruno Jesus,Portugal,Luciano Maia,Portugal,Yusuke Araki,Japan,Dennis Higler,Netherlands,Tomasz Kwiatkowski,Fu Ming,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-18,Group B,Canada,Qatar,Cristián Garay,Chile,José Retamal,Chile,Miguel Rocha,Chile,Kevin Ortega,Peru,Juan Lara,Chile,Rodolpho Toski,Nicolás Gallo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-19,Group C,Scotland,Morocco,Ilgiz Tantashev,Uzbekistan,Andrey Tsapenko,Uzbekistan,Timur Gaynullin,Uzbekistan,Adham Makhadmeh,Jordan,Armando Villarreal,United States,Erick Miranda,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-19,Group C,Brazil,Haiti,Alejandro Hernández Hernández,Spain,José Enrique Naranjo Pérez,Spain,Diego Sánchez Rojo,Spain,Sandro Schärer,Switzerland,Carlos del Cerro Grande,Spain,Willy Delajod,Mahmoud Ashour,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-19,Group D,United States,Australia,Felix Zwayer,Germany,Robert Kempter,Germany,Christian Dietz,Germany,Katia Itzel García,Mexico,Bastian Dankert,Germany,Hamza El Fariq,Bram Van Driessche,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-19,Group D,Turkey,Paraguay,Iván Barton,El Salvador,David Morán,El Salvador,Henry Pupiro,Nicaragua,Oshane Nation,Jamaica,Khamis Al-Marri,Qatar,Tatiana Guzmán,Abdullah Al-Shehri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-20,Group E,Germany,Ivory Coast,Juan Gabriel Benítez,Paraguay,Eduardo Cardozo,Paraguay,Milcíades Saldívar,Paraguay,Khalid Al-Turais,Saudi Arabia,Antonio García,Uruguay,Guillermo Pacheco,Juan Soto,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-20,Group E,Ecuador,Curacao,Ma Ning,China,Zhou Fei,China,Saud Al-Maqaleh,Qatar,Campbell-Kirk Kawana-Waugh,New Zealand,Fu Ming,China,Marco Di Bello,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-20,Group F,Netherlands,Sweden,Michael Oliver,England,Stuart Burt,England,James Mainwaring,England,Abongile Tom,South Africa,Jarred Gillett,England,Ivan Bebek,Rodolpho Toski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-20,Group F,Tunisia,Japan,István Kovács,Romania,Mihai Marius Marica,Romania,Ferencz Tunyogi,Romania,Juan Gabriel Calderón,Costa Rica,Fedayi San,Switzerland,Joe Dickerson,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-21,Group G,Belgium,Iran,Darío Herrera,Argentina,Cristian Navarro,Argentina,Gabriel Chade,Argentina,Yusuke Araki,Japan,Hernán Mastrángelo,Argentina,Leodán González,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-21,Group G,New Zealand,Egypt,Omar Al Ali,United Arab Emirates,Mohamed Al-Hammadi,United Arab Emirates,Taleb Al-Marri,Qatar,Kevin Ortega,Peru,Mohammed Obaid Khadim,United Arab Emirates,Shaun Evans,Armando Villarreal,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-21,Group H,Spain,Saudi Arabia,Raphael Claus,Brazil,Danilo Manis,Brazil,Rodrigo Figueiredo,Brazil,Andrés Rojas,Colombia,Nicolás Gallo,Colombia,Erick Miranda,Guillermo Pacheco,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-21,Group H,Uruguay,Cape Verde,Espen Eskås,Norway,Jan Erik Engan,Norway,Isaak Bashevkin,Norway,Tori Penso,United States,Willy Delajod,France,Jérôme Brisard,Dennis Higler,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-22,Group I,France,Iraq,Drew Fischer,Canada,Micheal Barwegen,Canada,Lyes Arfa,Canada,Sandro Schärer,Switzerland,Joe Dickerson,United States,Antonio García,Juan Soto,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,2026-06-22,Group I,Norway,Senegal,Wilton Sampaio,Brazil,Bruno Pires,Brazil,Bruno Boschilia,Brazil,Campbell-Kirk Kawana-Waugh,New Zealand,Rodolpho Toski,Brazil,Juan Lara,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
