tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1986,1986-06-08,Group B,Iraq,Belgium,Jesús Díaz,Colombia,Victoriano Sánchez Arminio,Spain,Vojtěch Christov,Czechoslovakia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-08,Group E,West Germany,Scotland,Ioan Igna,Romania,Bogdan Dotchev,Bulgaria,Alan Snoddy,Northern Ireland,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-08,Group E,Denmark,Uruguay,Antonio Márquez Ramírez,Mexico,Romualdo Arppi Filho,Brazil,Jan Keizer,Netherlands,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-09,Group C,Hungary,France,Carlos Silva Valente,Portugal,André Daina,Switzerland,Alexis Ponnet,Belgium,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-09,Group C,Soviet Union,Canada,Idrissa Traoré,Mali,Gabriel González,Paraguay,Fallaj Al-Shanar,Saudi Arabia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-10,Group A,Argentina,Bulgaria,Berny Ulloa Morera,Costa Rica,José Luis Martínez Bazán,Uruguay,Romualdo Arppi Filho,Brazil,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-10,Group A,South Korea,Italy,David Socha,United States,Urres,Mexico,Jamal Al-Sharif,Syria,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-11,Group B,Iraq,Mexico,Zoran Petrović,Yugoslavia,Luigi Agnolin,Italy,Lajos Németh,Hungary,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-11,Group B,Paraguay,Belgium,Bogdan Dotchev,Bulgaria,Hernán Silva,Chile,Ali Bin Nasser,Tunisia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-11,Group F,England,Poland,André Daina,Switzerland,Vojtěch Christov,Czechoslovakia,Horst Brummeier,Austria,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-11,Group F,Portugal,Morocco,Alan Snoddy,Northern Ireland,Volker Roth,West Germany,Valeri Butenko,Soviet Union,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-12,Group D,Algeria,Spain,Shizuo Takada,Japan,Carlos Espósito,Argentina,Edwin Picon-Ackong,Mauritius,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-12,Group D,Northern Ireland,Brazil,Siegfried Kirschen,East Germany,George Courtney,England,Idrissa Traoré,Mali,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-13,Group E,Denmark,West Germany,Alexis Ponnet,Belgium,Erik Fredriksson,Sweden,Chris Bambridge,Australia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-13,Group E,Scotland,Uruguay,Joël Quiniou,France,Ali Bin Nasser,Tunisia,Jesús Díaz,Colombia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-15,Round of 16,Mexico,Bulgaria,Romualdo Arppi Filho,Brazil,Ioan Igna,Romania,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-15,Round of 16,Soviet Union,Belgium,Erik Fredriksson,Sweden,David Socha,United States,Victoriano Sánchez Arminio,Spain,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-16,Round of 16,Brazil,Poland,Volker Roth,West Germany,Antonio Márquez Ramírez,Mexico,Alan Snoddy,Northern Ireland,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-16,Round of 16,Argentina,Uruguay,Luigi Agnolin,Italy,Carlos Silva Valente,Portugal,George Courtney,England,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-17,Round of 16,Italy,France,Carlos Espósito,Argentina,Jesús Díaz,Colombia,José Luis Martínez Bazán,Uruguay,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-17,Round of 16,Morocco,West Germany,Zoran Petrović,Yugoslavia,Horst Brummeier,Austria,Lajos Németh,Hungary,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-18,Round of 16,England,Paraguay,Jamal Al-Sharif,Syria,Fallaj Al-Shanar,Saudi Arabia,Alexis Ponnet,Belgium,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-18,Round of 16,Denmark,Spain,Jan Keizer,Netherlands,Bogdan Dotchev,Bulgaria,Ali Bin Nasser,Tunisia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-21,Quarter-finals,Brazil,France,Ioan Igna,Romania,Vojtěch Christov,Czechoslovakia,Lajos Németh,Hungary,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-21,Quarter-finals,West Germany,Mexico,Jesús Díaz,Colombia,Chris Bambridge,Australia,Alan Snoddy,Northern Ireland,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-22,Quarter-finals,Argentina,England,Ali Bin Nasser,Tunisia,Bogdan Dotchev,Bulgaria,Berny Ulloa Morera,Costa Rica,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-22,Quarter-finals,Spain,Belgium,Siegfried Kirschen,East Germany,Horst Brummeier,Austria,Edgardo Codesal,Mexico,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-25,Semi-finals,France,West Germany,Luigi Agnolin,Italy,Lajos Németh,Hungary,Zoran Petrović,Yugoslavia,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-25,Semi-finals,Argentina,Belgium,Antonio Márquez Ramírez,Mexico,Carlos Silva Valente,Portugal,Rómulo Méndez,Guatemala,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-28,Third place play-off,Belgium,France,George Courtney,England,Hernán Silva,Chile,Jamal Al-Sharif,Syria,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
1986,1986-06-29,Final,Argentina,West Germany,Romualdo Arppi Filho,Brazil,Erik Fredriksson,Sweden,Berny Ulloa Morera,Costa Rica,https://www.rsssf.org/tables/86full.html; https://github.com/jfjelstul/worldcup
